35,517316
22,538579
52,266621
108,859044
29,244062
27,846962
89,403985
20,413663
28,938396
98,229741
24,865413
26,884353
12,889410
15,3038420
39,394543
72,1247303
37,976243
19,358908
62,279308
25,205087
23,923664
3,373081
14,181172
1,2247780
81,436150
92,550580
31,139902
78,731649
17,1264105
93,312794
58,3997465
16,1112187
21,550432
71,630581
34,447779
83,649824
8,214878
42,482886
73,578465
9,279754
36,700722
97,337211
30,530849
13,599905
38,359351
55,228236
68,321309
7,126806
103,160264
18,548722
10,855834
41,362583
67,306349
87,1078766
110,391723
109,174857
50,421642
32,234668
63,3054956
60,493605
6,425297
77,200581
82,1249533
65,1092349
46,390025
74,401652
76,375781
40,398322
75,814495
4,590309
59,561189
99,321769
61,924414
54,664155
69,392814
48,973145
90,493357
45,195832
100,248292
96,178551
80,550967
95,160746
43,320263
49,337992
44,211226
70,223871
64,423932
88,307492
47,291815
2,176121
53,225098
66,298343
79,361783
56,318163
11,220225
51,346661
86,169782
33,291700
5,215871
85,271758
84,446837
101,171863
91,210972
102,162697
57,159670
